Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, Masovian;Specializations:AI/ML, IT admin;trainee;contract of mandate, internship / apprenticeship contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:QA/Testing;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B, umowa na zastêpstwo;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Big Data / Data Science;senior specialist (Senior), expert;contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Business analytics, System analytics;senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Gdañsk, pomorskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Full-stack;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:QA/Testing;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:Frontend, QA/Testing, Security;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Gdynia, Pomeranian;Specializations:Project Management;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;expert;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Security;expert;contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Gdynia, Pomeranian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Gdynia, Pomeranian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Katowice, œl¹skie;Specjalizacje:Helpdesk, Security;m³odszy specjalista (Junior);umowa zlecenie;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:System analytics;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Bogdanka (pow. ³êczyñski), lubelskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Kraków, ma³opolskie;Specjalizacje:Product Management;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;;junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator, mened¿er;umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture, Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Architecture;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Big Data / Data Science;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
